Date,Actual_Price,AR_Prediction,Hybrid_Prediction,Absolute_Error,MAPE,Risk_Regime
2016-09-12,8715.6,8194.486924001214,8195.592422965421,520.0075770345793,5.966400213807188,Low Risk
2016-09-14,8726.6,8195.917069734396,8197.022568698603,529.5774313013972,6.068542517147539,Low Risk
2016-09-15,8742.55,8197.347225948735,8198.452724912942,544.0972750870569,6.223553483675323,Low Risk
2016-09-16,8779.85,8198.777392644306,8199.882891608513,579.9671083914873,6.605660784540593,Low Risk
2016-09-19,8808.4,8200.207569821187,8201.313068785394,607.086931214606,6.892136270089982,Low Risk
2016-09-20,8775.9,8201.637757479453,8202.74325644366,573.1567435563393,6.53103093194247,Low Risk
2016-09-21,8777.15,8203.067955619186,8204.173454583393,572.9765454166063,6.528047776517506,Low Risk
2016-09-22,8867.45,8204.49816424046,8205.603663204667,661.8463367953336,7.463772976394946,Medium Risk
2016-09-23,8831.55,8205.928383343351,8207.033882307558,624.5161176924412,7.071421411784355,Medium Risk
2016-09-26,8723.05,8207.358612927937,8208.464111892145,514.5858881078548,5.899150963342579,Low Risk
2016-09-27,8706.4,8208.788852994294,8209.894351958501,496.5056480414987,5.70276633328929,Low Risk
2016-09-28,8745.15,8210.219103542497,8211.324602506704,533.8253974932959,6.104245181538292,Low Risk
2016-09-29,8591.25,8211.649364572624,8212.754863536831,378.4951364631688,4.405588668274917,Low Risk
2016-09-30,8611.15,8213.079636084754,8214.185135048961,396.9648649510382,4.60989374184677,Low Risk
2016-10-03,8738.1,8214.509918078964,8215.615417043171,522.4845829568294,5.979384339350996,Low Risk
2016-10-04,8769.15,8215.940210555329,8217.045709519536,552.1042904804635,6.295984108841377,Low Risk
2016-10-05,8743.95,8217.370513513926,8218.476012478133,525.4739875218675,6.009572190164255,Low Risk
2016-10-06,8709.55,8218.800826954832,8219.906325919039,489.6436740809604,5.621917023048957,Low Risk
2016-10-07,8697.6,8220.231150878124,8221.336649842331,476.26335015766927,5.475801947177029,Low Risk
2016-10-10,8708.8,8221.66148528388,8225.102307285655,483.69769271434416,5.554125628265021,Low Risk
2016-10-13,8573.35,8223.091830172174,8225.819564728017,347.53043527198315,4.053613059912206,Low Risk
2016-10-14,8583.4,8224.522185543085,8227.249920098928,356.1500799010719,4.149289091747698,Low Risk
2016-10-17,8520.4,8225.95255139669,8228.680285952532,291.7197140474673,3.423779564896804,Low Risk
2016-10-18,8677.9,8227.38292773306,8230.110662288904,447.78933771109587,5.160111751818941,Low Risk
2016-10-19,8659.1,8228.813314552279,8231.541049108122,427.55895089187834,4.937683487797558,Low Risk
2016-10-20,8699.4,8230.243711854422,8232.971446410265,466.4285535897343,5.361617509135507,Low Risk
2016-10-21,8693.05,8231.674119639567,8234.40185419541,458.64814580458915,5.276032529487225,Low Risk
2016-10-24,8708.95,8233.104537907788,8235.832272463631,473.1177275363698,5.432546145475284,Low Risk
2016-10-25,8691.3,8234.534966659161,8237.262701215004,454.0372987849951,5.224043569834145,Low Risk
2016-10-26,8615.25,8235.965405893767,8238.69314044961,376.5568595503901,4.370817556662779,Low Risk
2016-10-27,8615.25,8237.39585561168,8240.123590167523,375.1264098324773,4.354213863004293,Low Risk
2016-10-28,8638.0,8238.826315812976,8241.554050368819,396.44594963118107,4.589557184894432,Low Risk
2016-10-30,8625.7,8240.256786497734,8242.984521053577,382.7154789464239,4.436920817399445,Low Risk
2016-11-01,8626.25,8241.687267666031,8244.415002221875,381.8349977781254,4.426430926278805,Low Risk
2016-11-02,8514.0,8243.117759317945,8245.845493873789,268.15450612621134,3.1495713662932974,Low Risk
2016-11-03,8484.95,8244.54826145355,8247.275996009394,237.67400399060716,2.8011243907224808,Low Risk
2016-11-04,8433.75,8245.978774072924,8248.706508628768,185.04349137123245,2.194083193967481,Low Risk
2016-11-07,8497.05,8247.409297176144,8250.137031731987,246.91296826801226,2.9058669569793314,Low Risk
2016-11-08,8543.55,8248.839830763285,8251.567565319128,291.98243468087094,3.4175774084645254,Low Risk
2016-11-09,8432.0,8250.270374834425,8252.998109390268,179.00189060973207,2.1228876969844888,Low Risk
2016-11-10,8525.75,8251.700929389639,8254.428663945482,271.3213360545178,3.1823749940417887,Low Risk
2016-11-11,8296.3,8253.131494429006,8255.85922898485,40.44077101514995,0.4874555044435466,Low Risk
2016-11-15,8108.45,8254.562069952604,8257.289804508448,148.83980450844774,1.835613520567405,Low Risk
2016-11-16,8111.6,8255.992655960508,8258.720390516351,147.1203905163511,1.8137037146352273,Low Risk
2016-11-17,8079.95,8257.423252452794,8259.652985888652,179.7029858886517,2.2240606178089184,Low Risk
2016-11-18,8074.1,8258.853859429542,8261.0835928654,186.98359286539926,2.3158444020435622,Low Risk
2016-11-21,7929.1,8260.284476890829,8262.514210326686,333.41421032668586,4.204943944794313,Low Risk
2016-11-22,8002.3,8261.715104836729,8263.944838272586,261.64483827258573,3.269620462524346,Low Risk
2016-11-23,8033.3,8263.145743267318,8265.375476703175,232.0754767031749,2.8889183362151902,Low Risk
2016-11-24,7965.5,8264.576392182676,8265.82031065813,300.32031065812953,3.77026314303094,Low Risk
2016-11-25,8114.3,8266.007051582877,8266.80695138948,152.5069513894805,1.8794837680327383,Low Risk
2016-11-28,8126.9,8267.437721468,8268.237621274604,141.33762127460432,1.7391332645240416,Low Risk
2016-11-29,8142.15,8268.868401838123,8269.668301644726,127.51830164472631,1.5661502385085797,Low Risk
2016-11-30,8224.5,8270.29909269332,8271.098992499923,46.59899249992304,0.5665875433147674,Low Risk
2016-12-01,8192.9,8271.729794033668,8272.529693840272,79.62969384027201,0.9719353811259995,Low Risk
2016-12-02,8086.8,8273.160505859245,8273.960405665848,187.16040566584797,2.314393897040213,Low Risk
2016-12-05,8128.75,8274.591228170126,8275.391127976729,146.64112797672897,1.803981276047719,Low Risk
2016-12-06,8143.15,8276.02196096639,8276.821860772994,133.67186077299448,1.6415252177964852,Low Risk
2016-12-07,8102.05,8277.452704248113,8280.710681139697,178.66068113969686,2.2051293331897095,Low Risk
2016-12-08,8246.85,8278.883458015373,8277.20122087387,30.35122087387026,0.36803410846408335,Low Risk
2016-12-09,8261.75,8280.314222268245,8283.57219915983,21.822199159829324,0.26413531225018094,Low Risk
2016-12-12,8170.8,8281.744997006808,8280.062759865306,109.26275986530618,1.3372345408687787,Low Risk
2016-12-13,8221.8,8283.175782231137,8281.253961221884,59.45396122188504,0.7231258510531153,Low Risk
2016-12-14,8182.45,8284.606577941311,8271.742295193051,89.29229519305136,1.0912660045958282,Low Risk
2016-12-15,8153.6,8286.037384137404,8278.11331542223,124.51331542222943,1.527096195818159,Low Risk
2016-12-16,8139.45,8287.468200819494,8280.144755543271,140.69475554327164,1.7285535944476793,Low Risk
2016-12-19,8104.35,8288.899027987658,8276.034745239398,171.68474523939767,2.1184270822385223,Low Risk
2016-12-20,8082.4,8290.329865641972,8282.405796926798,200.0057969267982,2.474584243873085,Low Risk
2016-12-21,8061.3,8291.760713782514,8278.896431034254,217.59643103425424,2.6992722145839285,Low Risk
2016-12-22,7979.1,8293.19157240936,8285.267503694186,306.16750369418514,3.8371182676515536,Low Risk
2016-12-23,7985.75,8294.622441522586,8281.979684875763,296.22968487576327,3.7094785696492285,Low Risk
2016-12-26,7908.25,8296.05332112227,8283.18903837401,374.9390383740101,4.7411126149781575,Low Risk
2016-12-27,8032.85,8297.484211208492,8286.833067971167,253.98306797116675,3.1618051870900956,Low Risk
2016-12-28,8034.85,8298.915111781324,8284.910183390837,250.06018339083676,3.1121947938149033,Low Risk
2016-12-29,8103.6,8300.346022840846,8286.94171788931,183.34171788931053,2.2624724553199878,Low Risk
2016-12-30,8185.8,8301.776944387133,8289.78434563466,103.9843456346598,1.270301566550121,Low Risk
2017-01-02,8179.5,8188.473945429604,8189.6877639402865,10.187763940286459,0.12455240467371426,Low Risk
2017-01-03,8192.25,8187.940130142145,8190.491429234871,1.758570765128752,0.021466273186594064,Low Risk
2017-01-04,8190.5,8187.152703295244,8191.256582796886,0.7565827968855956,0.00923732124883213,Low Risk
2017-01-05,8273.8,8186.399865401269,8191.402981156048,82.39701884395163,0.9958787841614691,Low Risk
2017-01-06,8243.8,8187.516558324987,8193.060719395415,50.739280604584565,0.6154841287341344,Low Risk
2017-01-09,8236.05,8188.838358844572,8193.363550873137,42.6864491268625,0.5182878822598516,Low Risk
2017-01-10,8288.6,8190.1431876826355,8188.965677527247,99.63432247275341,1.2020645521891926,Low Risk
2017-01-11,8380.65,8191.434844075886,8190.3642653291345,190.28573467086517,2.2705367086188444,Low Risk
2017-01-12,8407.2,8192.68161636664,8194.554627369364,212.6453726306372,2.5293245388552337,Low Risk
2017-01-13,8400.35,8193.920781119277,8195.5923785433,204.75762145669978,2.437489169578646,Low Risk
2017-01-16,8412.8,8195.160714477286,8196.83231190131,215.9676880986899,2.5671320856158464,Low Risk
2017-01-17,8398.0,8196.401294262934,8198.072891686958,199.92710831304248,2.3806514445468263,Low Risk
2017-01-18,8417.0,8197.642942490618,8199.314539914642,217.6854600853585,2.586259475886403,Low Risk
2017-01-19,8435.1,8198.884792060344,8200.556389484367,234.5436105156332,2.78056704147708,Low Risk
2017-01-20,8349.35,8200.126579828335,8201.798177252358,147.5518227476423,1.7672252660104353,Low Risk
2017-01-23,8391.5,8201.36830586283,8203.039903286854,188.4600967131464,2.245845161331662,Low Risk
2017-01-24,8475.8,8202.609968849145,8204.281566273168,271.51843372683106,3.2034549390834033,Low Risk
2017-01-25,8602.75,8203.851589864422,8205.523187288445,397.2268127115549,4.617439919927405,Low Risk
2017-01-27,8641.25,8205.093176525128,8206.31897492136,434.93102507864023,5.03319571912212,Low Risk
2017-01-30,8632.75,8206.334728949168,8207.5605273454,425.18947265459974,4.925307377771855,Low Risk
2017-01-31,8561.3,8207.576246945633,8208.802045341865,352.4979546581344,4.117341462840158,Low Risk
2017-02-01,8716.4,8208.817729980663,8210.043528376895,506.3564716231049,5.809238580412841,Low Risk
2017-02-02,8734.25,8210.059177844192,8211.284976240424,522.9650237595761,5.987520665879453,Low Risk
2017-02-03,8740.95,8211.300590531104,8212.526388927336,528.4236110726652,6.045379633479944,Low Risk
2017-02-06,8801.05,8212.541968052636,8213.767766448867,587.2822335511319,6.672865550714198,Low Risk
2017-02-07,8768.3,8213.783310423862,8215.009108820093,553.2908911799059,6.310127290123581,Low Risk
2017-02-08,8769.05,8215.024617651487,8216.250416047718,552.799583952281,6.303984855283994,Low Risk
2017-02-09,8778.4,8216.26588973673,8217.491688132961,560.9083118670387,6.389641755525366,Low Risk
2017-02-10,8793.55,8217.507126680193,8218.732925076425,574.8170749235742,6.536803394801578,Low Risk
2017-02-13,8805.05,8218.748328482496,8219.974126878727,585.0758731212718,6.644776271813015,Low Risk
2017-02-14,8792.3,8219.989495144478,8221.21529354071,571.084706459289,6.495282309057801,Low Risk
2017-02-15,8724.7,8221.230626667128,8222.17352376629,502.5264762337101,5.759813818626544,Low Risk
2017-02-16,8778.0,8222.471723051452,8223.414620150616,554.5853798493845,6.317901342553936,Low Risk
2017-02-17,8821.7,8223.712784298457,8224.65568139762,597.0443186023804,6.76790548989855,Low Risk
2017-02-20,8879.2,8224.953810409143,8227.287560473182,651.9124395268191,7.342017744017692,Medium Risk
2017-02-21,8907.85,8226.194801384503,8228.528551448542,679.3214485514582,7.626098874043211,Medium Risk
2017-02-22,8926.9,8227.43575722553,8229.76950728957,697.1304927104302,7.809323423701735,Medium Risk
2017-02-23,8939.5,8228.676677933223,8231.010427997262,708.489572002738,7.925382538203904,Medium Risk
2017-02-27,8896.7,8229.917563508572,8232.251313572611,664.4486864273895,7.468484791297778,Medium Risk
2017-02-28,8879.6,8231.158413952575,8233.492164016614,646.1078359833864,7.276316905979846,Medium Risk
2017-03-01,8945.8,8232.399229266224,8234.732979330263,711.0670206697359,7.94861298787963,Medium Risk
2017-03-02,8899.75,8233.640009450515,8235.973759514554,663.7762404854457,7.458369510215969,Medium Risk
2017-03-03,8897.55,8234.880754506443,8237.214504570482,660.3354954295173,7.421542957662698,Medium Risk
2017-03-06,8963.45,8236.121464435002,8238.455214499041,724.9947855009596,8.088345285587128,Medium Risk
2017-03-07,8946.9,8237.362139237184,8239.971194293283,706.928805706717,7.901382665579329,Medium Risk
2017-03-08,8924.3,8238.602778913986,8242.943629035837,681.3563709641621,7.634843864103204,Medium Risk
